,player,playerid,subtype,Shots Made,Total Shots,FG%,Average FG%,FG% Difference
59,A. Coffey,1629599,Cutting Layup Shot,1.0,4.0,25.0,70.33553076619971,-45.33553076619971
60,A. Coffey,1629599,Driving Bank Hook Shot,2.0,2.0,100.0,51.30692267648789,48.69307732351211
61,A. Coffey,1629599,Driving Finger Roll Layup Shot,3.0,3.0,100.0,62.785599786476254,37.214400213523746
62,A. Coffey,1629599,Driving Floating Bank Jump Shot,1.0,4.0,25.0,49.67574935067332,-24.67574935067332
63,A. Coffey,1629599,Driving Floating Jump Shot,3.0,10.0,30.0,38.248881327329954,-8.248881327329954
64,A. Coffey,1629599,Driving Hook Shot,2.0,3.0,66.66666666666666,36.96562291925158,29.701043747415078
65,A. Coffey,1629599,Driving Layup Shot,6.0,16.0,37.5,45.01602024096154,-7.516020240961538
66,A. Coffey,1629599,Driving Reverse Layup Shot,0.0,4.0,0.0,55.503298940477,-55.503298940477
67,A. Coffey,1629599,Fadeaway Jump Shot,3.0,5.0,60.0,33.9661008403559,26.0338991596441
68,A. Coffey,1629599,Floating Jump shot,1.0,4.0,25.0,40.775771321052716,-15.775771321052716
69,A. Coffey,1629599,Jump Shot,12.0,40.0,30.0,33.64356279966131,-3.6435627996613107
70,A. Coffey,1629599,Layup Shot,1.0,2.0,50.0,50.050333235610644,-0.05033323561064407
71,A. Coffey,1629599,Pullup Jump shot,8.0,22.0,36.36363636363637,36.23884787401714,0.1247884896192275
72,A. Coffey,1629599,Running Dunk Shot,4.0,5.0,80.0,91.51696398565736,-11.516963985657355
73,A. Coffey,1629599,Running Finger Roll Layup Shot,1.0,1.0,100.0,76.7796157826837,23.220384217316294
74,A. Coffey,1629599,Running Jump Shot,0.0,1.0,0.0,35.632052842171824,-35.632052842171824
75,A. Coffey,1629599,Running Layup Shot,6.0,10.0,60.0,59.5547097295744,0.4452902704256019
76,A. Coffey,1629599,Running Pull-Up Jump Shot,1.0,1.0,100.0,36.13965874933622,63.86034125066378
77,A. Coffey,1629599,Step Back Jump shot,0.0,2.0,0.0,35.079155343934865,-35.079155343934865
78,A. Coffey,1629599,Tip Dunk Shot,1.0,1.0,100.0,84.33346026647462,15.666539733525383
79,A. Coffey,1629599,Turnaround Fadeaway shot,0.0,2.0,0.0,34.199880691471094,-34.199880691471094
80,A. Coffey,1629599,Turnaround Jump Shot,0.0,3.0,0.0,39.10629512709983,-39.10629512709983
81,A. Davis,203076,Alley Oop Dunk Shot,43.0,50.0,86.0,87.98424970972546,-1.9842497097254608
82,A. Davis,203076,Alley Oop Layup shot,21.0,25.0,84.0,64.09031610879916,19.909683891200842
83,A. Davis,203076,Cutting Dunk Shot,30.0,32.0,93.75,90.09392817477068,3.6560718252293185
84,A. Davis,203076,Cutting Finger Roll Layup Shot,4.0,4.0,100.0,79.81783739136681,20.182162608633192
85,A. Davis,203076,Cutting Layup Shot,50.0,79.0,63.29113924050633,70.33553076619971,-7.044391525693378
86,A. Davis,203076,Driving Bank Hook Shot,1.0,2.0,50.0,51.30692267648789,-1.3069226764878934
87,A. Davis,203076,Driving Dunk Shot,8.0,8.0,100.0,78.87124625983606,21.128753740163944
88,A. Davis,203076,Driving Finger Roll Layup Shot,3.0,5.0,60.0,62.785599786476254,-2.7855997864762543
89,A. Davis,203076,Driving Floating Bank Jump Shot,6.0,9.0,66.66666666666666,49.67574935067332,16.990917315993336
90,A. Davis,203076,Driving Floating Jump Shot,22.0,43.0,51.162790697674424,38.248881327329954,12.91390937034447
91,A. Davis,203076,Driving Hook Shot,9.0,16.0,56.25,36.96562291925158,19.28437708074842
92,A. Davis,203076,Driving Layup Shot,33.0,68.0,48.529411764705884,45.01602024096154,3.513391523744346
93,A. Davis,203076,Driving Reverse Dunk Shot,1.0,1.0,100.0,75.0,25.0
94,A. Davis,203076,Driving Reverse Layup Shot,6.0,11.0,54.54545454545454,55.503298940477,-0.9578443950224624
95,A. Davis,203076,Dunk Shot,27.0,32.0,84.375,84.13380015631027,0.2411998436897278
96,A. Davis,203076,Fadeaway Jump Shot,9.0,27.0,33.33333333333333,33.9661008403559,-0.6327675070225709
97,A. Davis,203076,Finger Roll Layup Shot,4.0,4.0,100.0,61.999433106575964,38.000566893424036
98,A. Davis,203076,Floating Jump shot,32.0,74.0,43.24324324324324,40.775771321052716,2.4674719221905264
99,A. Davis,203076,Hook Bank Shot,0.0,1.0,0.0,59.23952165331475,-59.23952165331475
100,A. Davis,203076,Hook Shot,14.0,22.0,63.63636363636363,45.452274267381924,18.18408936898171
101,A. Davis,203076,Jump Bank Shot,1.0,3.0,33.33333333333333,50.98262359275575,-17.649290259422422
102,A. Davis,203076,Jump Shot,70.0,191.0,36.64921465968586,33.64356279966131,3.0056518600245496
103,A. Davis,203076,Layup Shot,29.0,61.0,47.540983606557376,50.050333235610644,-2.5093496290532684
104,A. Davis,203076,Pullup Jump shot,18.0,40.0,45.0,36.23884787401714,8.76115212598286
105,A. Davis,203076,Putback Dunk Shot,12.0,12.0,100.0,91.18644081655869,8.813559183441313
106,A. Davis,203076,Putback Layup Shot,39.0,56.0,69.64285714285714,65.41013271254658,4.2327244303105545
107,A. Davis,203076,Reverse Dunk Shot,1.0,1.0,100.0,77.96212121212122,22.037878787878782
108,A. Davis,203076,Reverse Layup Shot,3.0,4.0,75.0,65.23393086838465,9.766069131615353
109,A. Davis,203076,Running Alley Oop Dunk Shot,2.0,2.0,100.0,89.52230455297939,10.477695447020608
110,A. Davis,203076,Running Alley Oop Layup Shot,3.0,3.0,100.0,74.22118380062305,25.778816199376948
111,A. Davis,203076,Running Dunk Shot,30.0,31.0,96.7741935483871,91.51696398565736,5.257229562729748
