player,playerid,subtype,Shots Made,Total Shots,FG%
A. Wiggins,1630598,Running Alley Oop Layup Shot,1.0,1.0,100.0
A. Wiggins,1630598,Running Dunk Shot,5.0,6.0,83.33333333333334
A. Wiggins,1630598,Running Finger Roll Layup Shot,5.0,6.0,83.33333333333334
A. Wiggins,1630598,Running Jump Shot,5.0,12.0,41.66666666666667
A. Wiggins,1630598,Running Layup Shot,16.0,25.0,64.0
A. Wiggins,1630598,Running Pull-Up Jump Shot,4.0,5.0,80.0
A. Wiggins,1630598,Running Reverse Layup Shot,2.0,2.0,100.0
A. Wiggins,1630598,Step Back Jump shot,0.0,2.0,0.0
A. Wiggins,1630598,Tip Dunk Shot,4.0,4.0,100.0
A. Wiggins,1630598,Tip Layup Shot,5.0,15.0,33.33333333333333
A. Wiggins,1630598,Turnaround Fadeaway shot,2.0,4.0,50.0
A. Wiggins,1630598,Turnaround Hook Shot,0.0,1.0,0.0
A. Wiggins,1630598,Turnaround Jump Shot,0.0,2.0,0.0
B. Adebayo,1628389,Alley Oop Dunk Shot,30.0,32.0,93.75
B. Adebayo,1628389,Alley Oop Layup shot,5.0,12.0,41.66666666666667
B. Adebayo,1628389,Cutting Dunk Shot,54.0,55.0,98.18181818181819
B. Adebayo,1628389,Cutting Finger Roll Layup Shot,10.0,12.0,83.33333333333334
B. Adebayo,1628389,Cutting Layup Shot,31.0,48.0,64.58333333333334
B. Adebayo,1628389,Driving Bank Hook Shot,3.0,6.0,50.0
B. Adebayo,1628389,Driving Dunk Shot,26.0,26.0,100.0
B. Adebayo,1628389,Driving Finger Roll Layup Shot,7.0,9.0,77.77777777777779
B. Adebayo,1628389,Driving Floating Bank Jump Shot,4.0,9.0,44.44444444444444
B. Adebayo,1628389,Driving Floating Jump Shot,19.0,46.0,41.30434782608695
B. Adebayo,1628389,Driving Hook Shot,13.0,30.0,43.333333333333336
B. Adebayo,1628389,Driving Layup Shot,33.0,73.0,45.20547945205479
B. Adebayo,1628389,Driving Reverse Dunk Shot,0.0,1.0,0.0
B. Adebayo,1628389,Driving Reverse Layup Shot,8.0,16.0,50.0
B. Adebayo,1628389,Dunk Shot,26.0,33.0,78.78787878787878
B. Adebayo,1628389,Fadeaway Bank shot,1.0,1.0,100.0
B. Adebayo,1628389,Fadeaway Jump Shot,30.0,71.0,42.25352112676056
B. Adebayo,1628389,Finger Roll Layup Shot,3.0,5.0,60.0
B. Adebayo,1628389,Floating Jump shot,56.0,104.0,53.84615384615385
B. Adebayo,1628389,Hook Bank Shot,2.0,3.0,66.66666666666666
B. Adebayo,1628389,Hook Shot,16.0,37.0,43.24324324324324
B. Adebayo,1628389,Jump Bank Shot,2.0,7.0,28.57142857142857
B. Adebayo,1628389,Jump Shot,100.0,223.0,44.843049327354265
B. Adebayo,1628389,Layup Shot,17.0,43.0,39.53488372093023
B. Adebayo,1628389,Pullup Jump shot,85.0,183.0,46.44808743169399
B. Adebayo,1628389,Putback Dunk Shot,11.0,12.0,91.66666666666666
B. Adebayo,1628389,Putback Layup Shot,12.0,23.0,52.17391304347826
B. Adebayo,1628389,Reverse Layup Shot,5.0,7.0,71.42857142857143
B. Adebayo,1628389,Running Alley Oop Dunk Shot,1.0,1.0,100.0
B. Adebayo,1628389,Running Dunk Shot,17.0,17.0,100.0
B. Adebayo,1628389,Running Finger Roll Layup Shot,5.0,7.0,71.42857142857143
B. Adebayo,1628389,Running Jump Shot,2.0,2.0,100.0
B. Adebayo,1628389,Running Layup Shot,20.0,35.0,57.14285714285714
B. Adebayo,1628389,Running Pull-Up Jump Shot,2.0,3.0,66.66666666666666
B. Adebayo,1628389,Running Reverse Layup Shot,2.0,2.0,100.0
B. Adebayo,1628389,Step Back Bank Jump Shot,2.0,2.0,100.0
B. Adebayo,1628389,Step Back Jump shot,9.0,26.0,34.61538461538461
B. Adebayo,1628389,Tip Dunk Shot,17.0,20.0,85.0
